roduid,lifespan,FAILURETYPE,H2S_CONCENTRATION,PrimarySetpoint,SecondarySetpoint,StrokeLength,GrossStrokeLength,Fillage,bha_configuration,max_unguided_dls,dls_high_in_hole,gas_anchor_length,MAX_INCLINATION,manual_scale,packer_vs_tac,AVG_PRESS_FLOWLINE,AVG_PRESSURE_TUBING,AVG_PRESSURE_CASING,AVG_OIL_VOLUME,AVG_WATER_VOLUME,AVG_LIQUID_VOLUME,rod_sinker_type,rod_has_guides,rod_make,rod_apigrade,ROUTE,overall_max_sideload,shallow_max_sideload,max_unguided_sideload,DESANDDEGAS_TYP,NIPPLE_SET_DEPTH,pump_bore
GB49QNDW34768059717571,333.5416666666667,Rods,0.0,75.0,60.0,169.429992675781,134.55693262273599,73.6238098144531,TAC_BELOW_NIP,3.3277513999999995,2.72156942672829,17.15,6.15,N,OTHER_ANCHOR,71.454719,74.893153,95.143761,91.186685,67.353408,158.419493,SUCKER_RODS_W_GUIDES,True,mesh enterprise portals,SpecialService,882,247.87,247.87,164.48,Miller LLC,10129.8,1.75
GB83SZII41028997419908,520.0416666666666,Tubing,0.0,75.0,60.0,144.0,115.59926372835,94.0727233886718,PACKER_TAC_DONNAN,4.532413,0.559322033898317,17.07,3.03,N,OTHER_PACKER,41.842775,78.58179200000001,196.279682,42.493134000000005,37.459515,79.952649,SUCKER_RODS_W_GUIDES,False,strategize next-generation users,SpecialService,871,256.11,32.86,256.11,Miller LLC,10430.5,1.5
GB72HKAW90934357037424,627.7083333333334,Sucker Rod Pump,0.0,75.0,61.0,168.0,133.823551601833,73.7740783691406,TAC_ABOVE_NIP,2.5,2.5,18.81,1.5,Y,OTHER_ANCHOR,34.090108,50.488873999999996,74.35225200000001,25.147399,4.180636,29.328034999999996,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,880,94.44,94.44,94.44,Miller LLC,10285.0,1.25
GB42EQRY45319470937746,474.0416666666667,Sucker Rod Pump,0.0,75.0,60.0,144.0,109.21734882033,96.22000122070308,TAC_BELOW_NIP,2.2868912,2.2868911049506,19.73,2.46,N,OTHER_ANCHOR,66.99701,77.525891,88.254039,39.727481,30.080871999999996,69.808353,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,902,196.57,196.57,196.57,West-Washington,10222.8,1.5
GB42IJTD71272637992085,356.25,Rods,0.0,75.0,60.0,144.0,112.81103941882601,95.3357162475586,PACKER_DONNAN,2.2584543,1.7989865715842301,20.05,4.9,N,arrowset,63.578174,82.943678,89.726967,80.275204,31.743869,112.019074,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,885,193.78,193.78,193.78,Miller LLC,9897.4,1.75
GB65VVTX33032654744346,363.6875,Tubing,0.0,80.0,60.0,144.039993286132,105.556065856933,92.2727279663086,TAC_ABOVE_NIP,1.56,1.56,17.2,1.87,N,OTHER_ANCHOR,33.495115999999996,71.050116,95.564557,88.722365,78.14653,166.868895,SINKER_BARS_W_GUIDED_SUBS,False,strategize next-generation users,SpecialService,905,142.83,142.83,142.83,Miller LLC,10587.6,1.5
GB70TLTG39294654995781,644.8743055555556,Tubing,0.0,80.0,65.0,144.0,118.441131736429,93.19999694824209,TAC_BELOW_NIP,1.7,1.7,19.23,1.6,N,OTHER_ANCHOR,52.907679,98.818704,137.799501,118.123461,50.515081,168.638542,UNKNOWN,False,strategize next-generation users,SpecialService,884,178.6,178.6,178.6,UNKNOWN,10117.0,1.75
GB12UQFL69303403527454,139.64583333333334,Tubing,0.0,75.0,60.0,169.816257204328,154.191132903099,91.78888702392571,TAC_BELOW_NIP,4.44,4.44,17.15,5.33,N,OTHER_ANCHOR,59.471971999999994,58.659130000000005,122.231377,49.366197,59.739437,109.10563400000001,UNKNOWN,False,strategize next-generation users,SpecialService,872,306.66,306.66,306.66,Miller LLC,10089.2,1.5
GB12GZAL56527307159667,511.375,Tubing,0.0,75.0,60.0,169.429992675781,148.55573660532602,93.6863632202148,TAC_BELOW_NIP,3.3277513999999995,2.72156942672829,17.15,6.15,N,OTHER_ANCHOR,68.86867,87.140474,86.264377,123.858209,80.307836,204.166045,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,882,229.19,229.19,229.19,Miller LLC,10129.8,1.75
GB15YOBZ48250974998548,532.0,Sucker Rod Pump,0.0,75.0,60.0,169.399993896484,146.606727180263,82.0,TAC_BELOW_NIP,1.8024598000000003,1.80245988528935,17.12,8.05,N,OTHER_ANCHOR,61.384555000000006,64.065044,66.24253900000001,37.236736,35.533021000000005,72.769757,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,883,195.8,195.8,195.8,Miller LLC,9920.2,1.75
GB21FEGH93578188990169,230.75,Sucker Rod Pump,0.0,72.0,65.0,144.199996948242,118.791441204167,95.99720001220699,TAC_ABOVE_NIP,1.35,1.12,17.18,2.16,N,OTHER_ANCHOR,12.092083,21.843142999999998,64.0575,44.339056,55.064378000000005,99.40343299999999,SUCKER_RODS_W_GUIDES,False,strategize next-generation users,SpecialService,872,100.62,100.62,100.62,Miller LLC,9994.3,1.5
GB47TOQK93929573652341,289.5416666666667,Sucker Rod Pump,0.0,75.0,60.0,168.02000427246,139.730130426811,78.94615173339841,PACKER_DONNAN,4.7469730000000006,2.12525658690216,20.7,7.38,Y,arrowset,68.71911,109.150462,109.238677,86.162485,47.165184,133.327669,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,905,270.09,242.1,217.73,UNKNOWN,10497.3,1.75
GB37JRUS89631114466196,1180.3333333333333,Rods,0.0,75.0,60.0,144.0,129.965010747136,90.8130416870117,PACKER_DONNAN,3.6186830000000003,3.14134614598956,17.15,12.4,N,arrowset,55.745748999999996,99.86484300000001,93.561603,52.562688,23.237955,75.80064300000001,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,871,335.01,335.01,335.01,Miller LLC,10210.6,1.75
GB13HLEM24162950610451,182.20833333333334,Sucker Rod Pump,10.5,75.0,60.0,168.0,165.0,9.699999809265131,TAC_BELOW_NIP,1.23,0.8,0.0,1.7,N,OTHER_ANCHOR,46.468092,52.629598,63.971965000000004,19.939286,4.109780000000001,24.049066,SINKER_BARS_W_GUIDED_SUBS,False,strategize next-generation users,K,880,68.67,48.45,68.67,UNKNOWN,10202.8,1.25
GB98HJZP88578069002496,354.7916666666667,Tubing,0.0,75.0,60.0,144.0,121.093366931733,88.60370635986321,TAC_BELOW_NIP,1.15,1.14,18.8,1.75,N,OTHER_ANCHOR,46.751437,98.590417,141.85562099999999,52.847573,32.526720000000005,85.37429300000001,SLICK_SINKER_BARS,False,strategize next-generation users,D,884,83.73,83.73,83.73,Miller LLC,9844.2,1.75
GB48VDHX60846748697683,300.125,Tubing,0.0,70.0,65.0,169.429992675781,136.906086812883,92.5,TAC_BELOW_NIP,3.02,3.02,0.0,10.38,N,OTHER_ANCHOR,65.46123,62.9325,80.994188,74.913698,75.722347,150.636045,UNKNOWN,False,mesh enterprise portals,SpecialService,882,350.69,350.69,350.69,West-Washington,9836.6,1.75
GB71CWTB23421864618599,354.2708333333333,Sucker Rod Pump,0.0,75.0,65.0,144.039993286132,107.04582874386801,77.0999984741211,TAC_BELOW_NIP,2.0136523,1.15624999999965,17.15,2.37,N,slimline,55.144353,118.66346200000001,118.081193,33.572493,28.201341999999997,61.773835999999996,SINKER_BARS_W_GUIDED_SUBS,True,strategize next-generation users,SpecialService,874,111.68,111.68,111.68,Miller LLC,9468.6,1.5
GB15KMJQ41461082441585,399.75,Sucker Rod Pump,0.0,80.0,64.0,144.199996948242,123.215242671966,83.6142883300781,TAC_ABOVE_NIP,2.36,2.36,17.8,1.93,N,OTHER_ANCHOR,58.373295,65.150305,84.642519,84.616016,20.667351,105.283368,SINKER_BARS_W_GUIDED_SUBS,False,strategize next-generation users,K,886,192.93,192.93,192.93,Miller LLC,9923.2,1.75
GB03RJFP35720896496734,305.3958333333333,Sucker Rod Pump,0.0,50.0,60.0,144.0,97.6718657273512,96.69999694824209,PACKER_DONNAN,2.9509003,2.9509003364038597,20.72,5.89,N,arrowset,67.581825,75.188819,121.952804,80.77261999999999,27.48623,108.25885,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,883,314.65,314.65,314.65,Sanchez PLC,10036.7,1.75
GB93AKLC55899507047592,360.5444444444444,Tubing,0.0,76.0,60.0,144.0,96.78913828104479,76.8307723999023,TAC_BELOW_NIP,2.38,2.38,17.14,4.0,N,OTHER_ANCHOR,63.069424,67.717219,78.295707,88.279302,27.867829999999998,116.14713200000001,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,873,204.35,204.35,204.35,Miller LLC,9961.9,2
GB37QPSH55727721441730,180.125,Tubing,13.0,80.0,66.0,144.0,116.84607552700301,95.19999694824209,TAC_ABOVE_NIP,1.1878684,3.07238528710493,19.56,4.75,N,OTHER_ANCHOR,45.079531,169.51958100000002,312.81089,75.424479,31.458333000000003,106.88281299999998,SUCKER_RODS_W_GUIDES,True,mesh enterprise portals,SpecialService,883,372.93,372.93,56.74,Bender-King,9949.7,2
GB07SCIU61077427283897,636.6666666666666,Sucker Rod Pump,0.0,70.0,0.0,144.0,127.817527530574,54.1058807373046,PACKER_DONNAN,1.2197417,0.5157969964820921,20.75,1.14,Y,arrowset,37.430996,127.89260900000001,160.11046399999998,81.104704,12.249757,93.354461,SLICK_SINKER_BARS,False,strategize next-generation users,D,886,56.2,43.26,56.2,Sanchez PLC,9753.4,1.5
GB51ZXVP79962519440904,258.2708333333333,Sucker Rod Pump,0.0,80.0,65.0,146.529998779296,121.983206333258,76.0,TAC_BELOW_NIP,0.8698623999999999,2.9555807024246206,17.1,9.06,N,OTHER_ANCHOR,68.117023,102.19309200000001,110.484328,92.07767,44.427184000000004,136.504854,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,883,232.52,232.52,60.91,Miller LLC,9200.4,1.75
GB27NASR87475321744427,495.9583333333333,Rods,0.0,80.0,60.0,144.0,94.5768841068919,91.5434799194336,TAC_BELOW_NIP,1.7628211999999999,1.7628211719383502,17.12,7.03,N,OTHER_ANCHOR,62.23082900000001,88.901955,87.693699,86.26519300000001,28.478821000000003,114.74401499999999,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,883,220.81,220.81,220.81,Miller LLC,10200.1,2
GB93GWFT87212219869812,476.375,Tubing,0.0,75.0,65.0,167.089453993172,177.12142791748002,93.8161315917968,TAC_BELOW_NIP,2.1777672999999997,1.7662125041501497,21.27,6.51,N,OTHER_ANCHOR,64.95177,99.023093,131.413305,124.075,34.5875,158.6625,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,883,146.33,146.33,146.33,UNKNOWN,9497.2,1.75
GB85NXFN50273075728323,276.9791666666667,Tubing,0.0,80.0,65.0,169.429992675781,132.90414808741102,78.0,PACKER_DONNAN,1.1099961,1.10999603559283,20.72,1.46,N,arrowset,67.217073,93.717247,117.146725,108.971199,92.843836,201.815034,SUCKER_RODS_W_GUIDES,False,mesh enterprise portals,SpecialService,886,123.03,123.03,123.03,Sanchez PLC,8888.4,2
